id,olng,olat,dlng,dlat,Ts,OnD,Tr,Cep,Tp,Td,WT,VT,D
34,-71.101767,42.359878,-71.085837,42.360482,179.8,True,1840.1784985089107,1840.1784985089107,2048.1,2227.9,207.9215014910892,179.80000000000018,1.0000000000000009
35,-71.102711,42.364923,-71.104143,42.379222,200.9,True,1925.5477357538748,1925.5477357538748,2211.6,2412.5,286.0522642461251,200.9000000000001,1.0000000000000004
36,-71.118953,42.373568,-71.086319,42.362396,336.4,True,2073.858454435469,2073.858454435469,2100,2436.4,26.141545564531043,336.4000000000001,1.0000000000000004
37,-71.089973,42.368276,-71.102711,42.364923,171.9,True,2315.7601913251633,2315.7601913251633,2506.5,2678.4,190.7398086748367,171.9000000000001,1.0000000000000004
38,-71.101767,42.359878,-71.085837,42.360482,179.8,True,2524.671988879882,2524.671988879882,2655.4,2835.2,130.72801112011803,179.79999999999973,0.9999999999999984
39,-71.086319,42.362396,-71.103823,42.354241,163.4,True,2545.237133576057,2545.237133576057,2550,2713.4,4.762866423942796,163.4000000000001,1.0000000000000004
40,-71.089973,42.368276,-71.102711,42.364923,171.9,True,2558.3805156994163,2558.3805156994163,2788.7,2963.1,230.31948430058355,174.4000000000001,1.0145433391506695
41,-71.101767,42.359878,-71.085837,42.360482,179.8,True,2571.5176950969435,2571.5176950969435,2654.2,2834.0,82.68230490305632,179.80000000000018,1.0000000000000009
42,-71.103823,42.354241,-71.089973,42.368276,236,True,2585.7155998403296,2585.7155998403296,2787.0,3022.7,201.28440015967044,235.69999999999982,0.9987288135593213
43,-71.093499,42.359121,-71.118953,42.373568,201.4,True,2726.4981549718336,2726.4981549718336,2815.3,3016.7,88.80184502816655,201.39999999999964,0.9999999999999981
44,-71.089973,42.368276,-71.102711,42.364923,171.9,True,2788.8269651827954,2788.8269651827954,2791.2,2963.1,2.3730348172043705,171.9000000000001,1.0000000000000004
45,-71.089973,42.368276,-71.102711,42.364923,171.9,True,2818.2218539169776,2818.2218539169776,3028.7,3206.8,210.47814608302224,178.10000000000036,1.0360674810936612
46,-71.103823,42.354241,-71.089973,42.368276,236,True,2821.7178791636757,2821.7178791636757,2850,3086.0,28.28212083632434,236.0,1.0
47,-71.103823,42.354241,-71.089973,42.368276,236,True,2833.022319514891,2833.022319514891,2984.9,3220.9,151.87768048510907,236.0,1.0
48,-71.102711,42.364923,-71.093499,42.359121,85.3,True,2960.141194145682,2960.141194145682,2970,3055.3,9.85880585431778,85.30000000000018,1.0000000000000022
49,-71.104143,42.379222,-71.090304,42.362369,276.3,True,2973.5971271354774,2973.5971271354774,3218.2,3494.2,244.6028728645224,276.0,0.998914223669924
50,-71.093499,42.359121,-71.118953,42.373568,201.4,True,2994.1092754208285,2994.1092754208285,3085.3,3286.7,91.19072457917173,201.39999999999964,0.9999999999999981
51,-71.103823,42.354241,-71.089973,42.368276,236,True,3127.6860109302083,3127.6860109302083,3383.8,3623.5,256.11398906979184,239.69999999999982,1.0156779661016941
52,-71.093499,42.359121,-71.118953,42.373568,201.4,True,3222.5455695876694,3222.5455695876694,3377.4,3580.5,154.85443041233066,203.0999999999999,1.008440913604766
53,-71.101767,42.359878,-71.085837,42.360482,179.8,True,3266.7175081697465,3266.7175081697465,3431.4,3611.2,164.68249183025364,179.79999999999973,0.9999999999999984
54,-71.102711,42.364923,-71.104143,42.379222,200.9,True,3301.0573354262665,3301.0573354262665,3610.7,3816.0,309.6426645737333,205.30000000000018,1.0219014435042317
55,-71.086319,42.362396,-71.103823,42.354241,163.4,True,3419.1114971734446,3419.1114971734446,3568.7,3746.1,149.5885028265552,177.4000000000001,1.085679314565484
56,-71.089973,42.368276,-71.102711,42.364923,171.9,True,3420.828636927386,3420.828636927386,3623.5,3799.1,202.67136307261399,175.5999999999999,1.0215241419429895
57,-71.118953,42.373568,-71.086319,42.362396,336.4,True,3544.689704777382,3544.689704777382,3580.5,3916.9,35.81029522261815,336.4000000000001,1.0000000000000004
58,-71.086319,42.362396,-71.103823,42.354241,163.4,True,3565.964637138327,3565.964637138327,3658.9,3821.7,92.93536286167318,162.79999999999973,0.9963280293757633
59,-71.086319,42.362396,-71.103823,42.354241,163.4,True,3572.3334938525427,3572.3334938525427,3658.9,3821.7,86.5665061474574,162.79999999999973,0.9963280293757633
60,-71.104143,42.379222,-71.090304,42.362369,276.3,True,3687.89364794652,3687.89364794652,3816.0,4093.9,128.1063520534799,277.9000000000001,1.005790807093739
61,-71.101767,42.359878,-71.085837,42.360482,179.8,True,3708.4160687099693,3708.4160687099693,3882.8,4062.6,174.3839312900309,179.79999999999973,0.9999999999999984
62,-71.086319,42.362396,-71.103823,42.354241,163.4,True,3720.605270586867,3720.605270586867,3927.9,4091.3,207.29472941313315,163.4000000000001,1.0000000000000004
63,-71.086319,42.362396,-71.103823,42.354241,163.4,True,3757.705212167619,3757.705212167619,3999.6,4165.5,241.8947878323811,165.9000000000001,1.0152998776009796
64,-71.102711,42.364923,-71.104143,42.379222,200.9,True,3807.3910281171184,3807.3910281171184,4027.2,4234.5,219.80897188288145,207.30000000000018,1.031856645097064
65,-71.118953,42.373568,-71.086319,42.362396,336.4,True,3870.5515792837114,3870.5515792837114,3900,4240.3,29.448420716288638,340.3000000000002,1.0115933412604048
66,-71.103823,42.354241,-71.089973,42.368276,236,True,3900.0149264399483,3900.0149264399483,4093.4,4329.4,193.38507356005175,235.99999999999955,0.9999999999999981
67,-71.101767,42.359878,-71.085837,42.360482,179.8,True,4020.449905467513,4020.449905467513,4199.3,4379.1,178.85009453248722,179.80000000000018,1.0000000000000009
68,-71.102711,42.364923,-71.093499,42.359121,85.3,True,4073.3026290731245,4073.3026290731245,4250.6,4338.2,177.29737092687583,87.59999999999945,1.0269636576787744
69,-71.086319,42.362396,-71.103823,42.354241,163.4,True,4093.780539746431,4093.780539746431,4343.4,4506.8,249.61946025356883,163.40000000000055,1.0000000000000033
70,-71.101767,42.359878,-71.085837,42.360482,179.8,True,4125.5309675924345,4125.5309675924345,4315.3,4495.1,189.76903240756565,179.80000000000018,1.0000000000000009
71,-71.086319,42.362396,-71.103823,42.354241,163.4,True,4141.401796592381,4141.401796592381,4240.3,4403.7,98.8982034076189,163.39999999999964,0.9999999999999978
72,-71.090304,42.362369,-71.101767,42.359878,105.4,True,4199.142579008816,4199.142579008816,4511.6,4617.0,312.45742099118434,105.39999999999964,0.9999999999999964
73,-71.093499,42.359121,-71.118953,42.373568,201.4,True,4251.758952782343,4251.758952782343,4338.2,4539.6,86.44104721765689,201.40000000000055,1.0000000000000027
74,-71.118953,42.373568,-71.086319,42.362396,336.4,True,4329.674064851674,4329.674064851674,4617.3,4962.1,287.6259351483259,344.8000000000002,1.0249702734839483
75,-71.101767,42.359878,-71.085837,42.360482,179.8,True,4386.8542441147765,4386.8542441147765,4569.5,4752.1,182.64575588522348,182.60000000000036,1.0155728587319264
76,-71.089973,42.368276,-71.102711,42.364923,171.9,True,4401.4490493074445,4401.4490493074445,4646.0,4816.8,244.5509506925555,170.80000000000018,0.9936009307737067
77,-71.090304,42.362369,-71.101767,42.359878,105.4,True,4482.817279745261,4482.817279745261,4511.6,4617.0,28.782720254739615,105.39999999999964,0.9999999999999964
78,-71.086319,42.362396,-71.103823,42.354241,163.4,True,4559.25951345334,4559.25951345334,4621.1,4784.5,61.84048654666003,163.39999999999964,0.9999999999999978
79,-71.090304,42.362369,-71.101767,42.359878,105.4,True,4568.570207048229,4568.570207048229,4738.1,4843.9,169.52979295177101,105.79999999999927,1.0037950664136552
80,-71.103823,42.354241,-71.089973,42.368276,236,True,4598.392231169321,4598.392231169321,4785.8,5021.2,187.40776883067883,235.39999999999964,0.9974576271186425
81,-71.118953,42.373568,-71.086319,42.362396,336.4,True,4642.459758053489,4642.459758053489,4650,4990.3,7.540241946510832,340.3000000000002,1.0115933412604048
82,-71.102711,42.364923,-71.104143,42.379222,200.9,True,4675.426517117263,4675.426517117263,4816.8,5017.7,141.37348288273733,200.89999999999964,0.9999999999999981
83,-71.089973,42.368276,-71.102711,42.364923,171.9,True,4702.9335395840935,4702.9335395840935,4918.6,5142.8,215.66646041590684,224.19999999999982,1.3042466550319942
84,-71.090304,42.362369,-71.101767,42.359878,105.4,True,4740.198930033538,4740.198930033538,5092.5,5197.9,352.3010699664619,105.39999999999964,0.9999999999999964
85,-71.102711,42.364923,-71.093499,42.359121,85.3,True,4803.325898865781,4803.325898865781,4927.9,5013.2,124.57410113421884,85.30000000000018,1.0000000000000022
86,-71.093499,42.359121,-71.118953,42.373568,201.4,True,4842.630691884564,4842.630691884564,4978.5,5179.9,135.86930811543607,201.39999999999964,0.9999999999999981
87,-71.086319,42.362396,-71.103823,42.354241,163.4,True,4911.967757909446,4911.967757909446,4990.3,5154.7,78.33224209055425,164.39999999999964,1.0061199510403893
88,-71.093499,42.359121,-71.118953,42.373568,201.4,True,4962.038956374536,4962.038956374536,5057.5,5296.3,95.4610436254643,238.80000000000018,1.1857000993048668
89,-71.093499,42.359121,-71.118953,42.373568,201.4,True,4995.544482144398,4995.544482144398,5158.6,5360.0,163.05551785560237,201.39999999999964,0.9999999999999981
90,-71.090304,42.362369,-71.101767,42.359878,105.4,True,5024.29947896031,5024.29947896031,5092.5,5197.9,68.2005210396901,105.39999999999964,0.9999999999999964
91,-71.104143,42.379222,-71.090304,42.362369,276.3,True,5032.533439101969,5032.533439101969,5040,5318.9,7.466560898031275,278.89999999999964,1.009410061527324
92,-71.104143,42.379222,-71.090304,42.362369,276.3,True,5062.515093733986,5062.515093733986,5070,5345.2,7.48490626601415,275.1999999999998,0.996018820123054
93,-71.101767,42.359878,-71.085837,42.360482,179.8,True,5103.159052237207,5103.159052237207,5204.2,5384.0,101.04094776279271,179.80000000000018,1.0000000000000009
94,-71.090304,42.362369,-71.101767,42.359878,105.4,True,5129.889342379834,5129.889342379834,5302.8,5408.7,172.9106576201666,105.89999999999964,1.0047438330170744
95,-71.102711,42.364923,-71.104143,42.379222,200.9,True,5137.798496281048,5137.798496281048,5180.2,5425.1,42.40150371895197,244.90000000000055,1.2190144350423122
96,-71.101767,42.359878,-71.085837,42.360482,179.8,True,5217.777080466811,5217.777080466811,5220,5399.8,2.2229195331892697,179.80000000000018,1.0000000000000009
97,-71.093499,42.359121,-71.118953,42.373568,201.4,True,5267.274444986037,5267.274444986037,5379.3,5580.7,112.02555501396273,201.39999999999964,0.9999999999999981
98,-71.089973,42.368276,-71.102711,42.364923,171.9,True,5335.45602925601,5335.45602925601,5449.5,5617.9,114.04397074399003,168.39999999999964,0.9796393251890613
99,-71.104143,42.379222,-71.090304,42.362369,276.3,True,5348.815008234812,5348.815008234812,5425.1,5707.2,76.28499176518835,282.09999999999945,1.0209916757148008
100,-71.102711,42.364923,-71.104143,42.379222,200.9,True,5380.39961581776,5380.39961581776,5492.7,5693.6,112.30038418224012,200.90000000000055,1.0000000000000027
